day,amount_kopecks,sale_lines,anonymous_ids,candidate_order_groups,case_amount_rub,edge_day,confirmed_observed_posts,candidate_observed_posts,distinct_activity_texts,scenario_sales_utc_offset_hours
2026-08-04,8413000,9,6,7,84130.0,True,0,4,1,0
2026-08-05,6711000,8,6,6,67110.0,False,1,0,1,0
2026-08-06,6244500,8,7,7,62445.0,False,0,2,2,0
2026-08-07,5499500,6,5,5,54995.0,False,1,0,1,0
2026-08-08,27501500,49,35,35,275015.0,False,3,0,2,0
2026-08-09,52409167,92,68,68,524091.67,False,2,0,2,0
2026-08-10,20559000,36,29,29,205590.0,False,7,0,4,0
2026-08-11,9633000,17,12,12,96330.0,False,1,0,1,0
2026-08-12,11493000,17,14,14,114930.0,False,2,0,2,0
2026-08-13,7281000,9,9,9,72810.0,False,0,3,2,0
2026-08-14,7669000,10,9,9,76690.0,False,0,1,1,0
2026-08-15,4834500,7,5,5,48345.0,False,0,0,0,0
2026-08-16,4308500,6,5,5,43085.0,False,1,0,1,0
2026-08-17,3318500,4,3,3,33185.0,False,0,1,1,0
2026-08-18,6111000,7,6,6,61110.0,False,0,1,1,0
2026-08-19,5638000,7,5,5,56380.0,False,0,1,1,0
2026-08-20,5258500,6,6,6,52585.0,False,0,2,2,0
2026-08-21,2814500,3,3,3,28145.0,False,0,0,0,0
2026-08-22,25115000,32,26,26,251150.0,False,1,1,2,0
2026-08-23,39449500,49,39,39,394495.0,False,4,0,4,0
2026-08-24,18407300,22,19,19,184073.0,False,1,1,2,0
2026-08-25,14165000,18,15,15,141650.0,False,2,1,2,0
2026-08-26,8407500,10,9,9,84075.0,False,1,1,2,0
2026-08-27,13742500,18,10,10,137425.0,False,0,0,0,0
2026-08-28,6020000,7,6,6,60200.0,False,1,0,1,0
2026-08-29,9552500,13,10,10,95525.0,False,2,0,2,0
2026-08-30,17634000,23,19,19,176340.0,False,2,0,2,0
2026-08-31,20618800,25,19,19,206188.0,False,1,1,2,0
2026-09-01,22688000,28,19,19,226880.0,False,2,0,2,0
2026-09-02,21728000,28,23,23,217280.0,False,2,0,2,0
2026-09-03,18040000,22,20,20,180400.0,False,2,0,2,0
2026-09-04,26958500,33,26,26,269585.0,False,0,0,0,0
2026-09-05,48468400,59,48,49,484684.0,False,1,0,1,0
2026-09-06,39607500,54,45,45,396075.0,False,5,0,4,0
2026-09-07,17337500,20,17,17,173375.0,False,5,0,3,0
2026-09-08,6475000,8,6,6,64750.0,False,2,0,2,0
2026-09-09,19360000,24,16,16,193600.0,False,5,0,5,0
2026-09-10,995000,1,1,1,9950.0,True,2,1,3,0
2026-08-04,8413000,9,6,7,84130.0,True,0,4,1,3
2026-08-05,6711000,8,6,6,67110.0,False,1,0,1,3
2026-08-06,6244500,8,7,7,62445.0,False,0,2,2,3
2026-08-07,5499500,6,5,5,54995.0,False,1,0,1,3
2026-08-08,27501500,49,35,35,275015.0,False,3,0,2,3
2026-08-09,52409167,92,68,68,524091.67,False,2,0,2,3
2026-08-10,20559000,36,29,29,205590.0,False,7,0,4,3
2026-08-11,9633000,17,12,12,96330.0,False,1,0,1,3
2026-08-12,11493000,17,14,14,114930.0,False,2,0,2,3
2026-08-13,7281000,9,9,9,72810.0,False,0,3,2,3
2026-08-14,7669000,10,9,9,76690.0,False,0,1,1,3
2026-08-15,4834500,7,5,5,48345.0,False,0,0,0,3
2026-08-16,4308500,6,5,5,43085.0,False,1,0,1,3
2026-08-17,3318500,4,3,3,33185.0,False,0,1,1,3
2026-08-18,6111000,7,6,6,61110.0,False,0,1,1,3
2026-08-19,5638000,7,5,5,56380.0,False,0,1,1,3
2026-08-20,5258500,6,6,6,52585.0,False,0,2,2,3
2026-08-21,2814500,3,3,3,28145.0,False,0,0,0,3
2026-08-22,25115000,32,26,26,251150.0,False,1,1,2,3
2026-08-23,39449500,49,39,39,394495.0,False,4,0,4,3
2026-08-24,18407300,22,19,19,184073.0,False,1,1,2,3
2026-08-25,14165000,18,15,15,141650.0,False,2,1,2,3
2026-08-26,8407500,10,9,9,84075.0,False,1,1,2,3
2026-08-27,13742500,18,10,10,137425.0,False,0,0,0,3
2026-08-28,6020000,7,6,6,60200.0,False,1,0,1,3
2026-08-29,9552500,13,10,10,95525.0,False,2,0,2,3
2026-08-30,17634000,23,19,19,176340.0,False,2,0,2,3
2026-08-31,20618800,25,19,19,206188.0,False,1,1,2,3
2026-09-01,22688000,28,19,19,226880.0,False,2,0,2,3
2026-09-02,21728000,28,23,23,217280.0,False,2,0,2,3
2026-09-03,18040000,22,20,20,180400.0,False,2,0,2,3
2026-09-04,26958500,33,26,26,269585.0,False,0,0,0,3
2026-09-05,48468400,59,48,49,484684.0,False,1,0,1,3
2026-09-06,39607500,54,45,45,396075.0,False,5,0,4,3
2026-09-07,17337500,20,17,17,173375.0,False,5,0,3,3
2026-09-08,6475000,8,6,6,64750.0,False,2,0,2,3
2026-09-09,19360000,24,16,16,193600.0,False,5,0,5,3
2026-09-10,995000,1,1,1,9950.0,True,2,1,3,3
