id,datetime,lines,products,amount_kopecks,min_line,max_line
1,2026-09-04 19:30:57,1,1,895000,895000,895000
2,2026-09-05 16:22:48,1,1,895000,895000,895000
3,2026-09-03 22:47:02,1,1,597500,597500,597500
4,2026-08-31 15:42:34,1,1,895000,895000,895000
5,2026-08-22 16:19:00,1,1,575000,575000,575000
6,2026-09-02 19:16:28,1,1,845000,845000,845000
7,2026-08-08 14:07:56,1,1,495000,495000,495000
8,2026-08-08 16:25:39,2,2,899000,449500,449500
9,2026-09-03 14:55:45,1,1,895000,895000,895000
10,2026-09-06 16:25:37,1,1,845000,845000,845000
11,2026-08-27 20:09:27,1,1,697500,697500,697500
12,2026-08-09 16:52:01,1,1,649000,649000,649000
13,2026-09-07 07:54:24,1,1,895000,895000,895000
14,2026-08-30 23:52:21,1,1,895000,895000,895000
15,2026-09-04 15:26:00,1,1,845000,845000,845000
16,2026-08-10 16:56:42,2,2,990000,495000,495000
17,2026-08-22 17:01:20,1,1,995000,995000,995000
18,2026-09-05 14:29:29,1,1,895000,895000,895000
19,2026-08-09 11:01:50,2,2,990000,495000,495000
20,2026-09-06 11:07:00,2,2,1495000,747500,747500
21,2026-08-10 16:29:36,2,2,990000,495000,495000
22,2026-09-06 14:41:56,1,1,845000,845000,845000
23,2026-09-06 15:39:44,1,1,223750,223750,223750
24,2026-09-05 18:23:21,1,1,895000,895000,895000
25,2026-08-30 18:34:15,1,1,845000,845000,845000
26,2026-08-08 09:23:01,1,1,649000,649000,649000
26,2026-08-31 14:03:44,2,2,1795000,897500,897500
27,2026-08-29 14:47:39,1,1,895000,895000,895000
28,2026-09-04 15:15:34,2,2,1495000,747500,747500
29,2026-08-28 18:20:56,1,1,845000,845000,845000
30,2026-08-23 10:06:51,1,1,895000,895000,895000
31,2026-09-05 11:00:21,1,1,747500,747500,747500
32,2026-08-09 04:36:11,1,1,649000,649000,649000
33,2026-08-08 16:26:36,2,2,999000,499500,499500
34,2026-09-01 17:23:37,1,1,894500,894500,894500
35,2026-09-02 22:38:59,1,1,422500,422500,422500
36,2026-09-09 19:26:20,5,5,4475000,895000,895000
37,2026-09-02 04:13:14,1,1,575000,575000,575000
38,2026-08-09 12:15:31,1,1,649000,649000,649000
39,2026-08-27 17:02:28,1,1,995000,995000,995000
40,2026-08-09 16:36:02,1,1,649000,649000,649000
41,2026-08-12 10:22:39,1,1,650000,650000,650000
42,2026-09-06 11:42:46,1,1,845000,845000,845000
43,2026-09-05 07:16:30,2,2,1295000,647500,647500
44,2026-09-06 12:29:18,1,1,697500,697500,697500
45,2026-08-14 10:04:52,1,1,575000,575000,575000
46,2026-08-12 05:13:04,1,1,645000,645000,645000
47,2026-08-08 12:24:55,2,2,999000,499500,499500
48,2026-09-05 14:24:29,1,1,895000,895000,895000
49,2026-09-06 14:51:02,2,2,1495000,747500,747500
50,2026-09-02 10:32:55,1,1,895000,895000,895000
51,2026-09-06 15:46:24,1,1,223750,223750,223750
52,2026-08-10 18:12:59,1,1,645000,645000,645000
53,2026-08-09 13:57:35,1,1,495000,495000,495000
54,2026-08-08 12:39:51,1,1,649000,649000,649000
55,2026-09-06 15:35:13,1,1,223750,223750,223750
56,2026-09-06 12:12:33,1,1,747500,747500,747500
57,2026-08-10 00:14:10,1,1,495000,495000,495000
58,2026-08-09 16:12:46,3,3,1639000,546333,546334
59,2026-09-06 13:32:21,1,1,895000,895000,895000
60,2026-09-05 19:44:33,1,1,895000,895000,895000
61,2026-08-27 19:44:33,2,2,1395000,697500,697500
62,2026-08-09 18:47:09,2,2,999000,499500,499500
63,2026-08-09 19:29:08,2,2,1290000,645000,645000
63,2026-09-07 05:24:57,1,1,895000,895000,895000
64,2026-08-09 14:45:05,1,1,499500,499500,499500
65,2026-08-09 18:45:20,1,1,649000,649000,649000
66,2026-08-13 05:36:55,1,1,874500,874500,874500
67,2026-08-10 18:01:06,1,1,649000,649000,649000
67,2026-09-05 17:04:40,1,1,895000,895000,895000
68,2026-09-08 17:53:12,2,2,1500000,750000,750000
69,2026-08-22 04:22:43,1,1,695000,695000,695000
70,2026-08-18 19:10:04,1,1,847500,847500,847500
71,2026-08-23 14:57:08,1,1,845000,845000,845000
72,2026-09-07 19:19:58,2,2,1395000,697500,697500
73,2026-08-08 20:05:40,1,1,499500,499500,499500
74,2026-09-06 10:34:28,1,1,845000,845000,845000
75,2026-08-18 18:53:33,2,2,1695000,847500,847500
76,2026-08-30 14:48:44,2,2,1395000,697500,697500
77,2026-08-31 17:54:30,1,1,845000,845000,845000
78,2026-09-08 05:10:30,1,1,695000,695000,695000
79,2026-08-14 04:09:52,1,1,995000,995000,995000
80,2026-09-09 04:53:08,1,1,697500,697500,697500
81,2026-08-30 13:44:26,1,1,845000,845000,845000
82,2026-08-11 12:46:14,2,2,649000,324500,324500
83,2026-08-10 07:52:44,1,1,649000,649000,649000
84,2026-08-09 19:07:32,1,1,649000,649000,649000
85,2026-08-24 15:57:32,1,1,895000,895000,895000
86,2026-08-10 16:16:30,1,1,495000,495000,495000
87,2026-08-22 13:23:20,1,1,747500,747500,747500
88,2026-09-01 19:27:16,1,1,895000,895000,895000
89,2026-08-09 10:44:19,1,1,990000,990000,990000
90,2026-08-31 01:05:18,1,1,697500,697500,697500
91,2026-08-24 00:44:40,1,1,895000,895000,895000
92,2026-08-21 15:14:39,1,1,995000,995000,995000
93,2026-08-10 05:56:12,1,1,695000,695000,695000
94,2026-09-04 18:49:47,1,1,895000,895000,895000
95,2026-08-23 19:08:11,2,2,1495000,747500,747500
96,2026-08-09 16:21:43,1,1,649000,649000,649000
97,2026-09-06 17:27:55,1,1,895000,895000,895000
98,2026-08-23 14:14:48,2,2,1495000,747500,747500
99,2026-08-29 19:35:36,1,1,845000,845000,845000
100,2026-09-07 09:30:42,1,1,895000,895000,895000
101,2026-08-20 17:34:00,1,1,874500,874500,874500
102,2026-09-07 12:59:48,2,2,1295000,647500,647500
103,2026-08-09 18:46:42,1,1,649000,649000,649000
104,2026-08-23 21:00:30,2,2,1495000,747500,747500
105,2026-09-06 11:55:22,1,1,895000,895000,895000
106,2026-08-10 10:53:02,2,2,990000,495000,495000
107,2026-08-23 18:28:17,2,2,1395000,697500,697500
108,2026-09-09 04:53:08,1,1,697500,697500,697500
109,2026-09-05 17:57:36,1,1,895000,895000,895000
110,2026-09-07 10:27:06,1,1,895000,895000,895000
111,2026-08-24 16:49:26,1,1,895000,895000,895000
112,2026-08-11 18:41:42,2,2,1695000,847500,847500
113,2026-09-06 15:14:57,1,1,895000,895000,895000
114,2026-09-01 19:16:56,2,2,1395000,697500,697500
115,2026-09-01 13:09:50,1,1,894500,894500,894500
116,2026-08-25 10:01:02,2,2,1495000,747500,747500
117,2026-09-05 12:34:35,1,1,845000,845000,845000
118,2026-08-23 08:24:45,1,1,845000,845000,845000
119,2026-09-07 11:34:36,1,1,895000,895000,895000
120,2026-08-08 19:28:26,1,1,649000,649000,649000
121,2026-08-25 11:38:56,1,1,895000,895000,895000
122,2026-08-27 20:55:44,2,2,1495000,747500,747500
123,2026-09-09 16:23:01,1,1,645000,645000,645000
124,2026-09-04 06:34:32,1,1,995000,995000,995000
125,2026-09-07 08:46:37,1,1,895000,895000,895000
126,2026-08-05 13:22:41,1,1,874500,874500,874500
127,2026-09-05 17:27:41,1,1,895000,895000,895000
128,2026-09-02 11:55:47,1,1,894500,894500,894500
129,2026-08-09 10:56:45,1,1,649000,649000,649000
130,2026-08-15 14:59:16,1,1,995000,995000,995000
131,2026-08-04 17:05:46,1,1,874500,874500,874500
132,2026-08-13 11:39:13,1,1,874500,874500,874500
133,2026-08-16 09:59:37,2,2,990000,495000,495000
134,2026-08-31 08:06:47,1,1,697500,697500,697500
135,2026-08-08 20:00:19,2,2,999000,499500,499500
136,2026-08-27 08:57:04,2,2,1495000,747500,747500
137,2026-08-05 15:01:16,1,1,847500,847500,847500
138,2026-08-09 16:33:22,1,1,649000,649000,649000
138,2026-08-25 12:39:08,1,1,575000,575000,575000
139,2026-09-01 20:30:07,2,2,1395000,697500,697500
140,2026-08-25 16:01:50,1,1,845000,845000,845000
141,2026-08-24 14:48:12,1,1,747500,747500,747500
142,2026-08-11 15:49:13,1,1,649000,649000,649000
143,2026-08-16 13:21:36,1,1,695000,695000,695000
144,2026-08-29 11:51:08,2,2,895000,447500,447500
144,2026-09-01 15:30:39,1,1,895000,895000,895000
145,2026-08-30 13:06:05,1,1,895000,895000,895000
146,2026-08-20 16:27:30,1,1,695000,695000,695000
147,2026-09-05 19:46:01,2,2,1495000,747500,747500
148,2026-08-25 09:49:25,1,1,747500,747500,747500
149,2026-08-23 16:50:14,1,1,895000,895000,895000
150,2026-09-06 13:11:45,1,1,895000,895000,895000
151,2026-09-06 11:31:11,1,1,747500,747500,747500
152,2026-08-10 08:42:13,1,1,649000,649000,649000
153,2026-08-13 18:30:59,1,1,575000,575000,575000
154,2026-09-06 13:40:03,1,1,895000,895000,895000
155,2026-09-05 10:20:56,2,2,1495000,747500,747500
155,2026-09-05 12:13:44,1,1,700000,700000,700000
156,2026-08-22 10:54:14,2,2,1495000,747500,747500
157,2026-08-31 06:39:53,2,2,1495000,747500,747500
158,2026-08-10 12:37:30,2,2,940000,470000,470000
159,2026-08-05 12:56:32,2,2,1695000,847500,847500
160,2026-08-09 02:39:44,1,1,499500,499500,499500
161,2026-08-08 19:49:42,2,2,999000,499500,499500
162,2026-08-15 12:51:04,1,1,695000,695000,695000
163,2026-08-26 01:23:32,1,1,845000,845000,845000
164,2026-08-10 13:08:15,1,1,874500,874500,874500
165,2026-08-25 07:21:38,1,1,845000,845000,845000
166,2026-08-06 12:15:46,1,1,695000,695000,695000
167,2026-08-09 09:07:16,2,2,990000,495000,495000
168,2026-08-25 06:26:04,2,2,1495000,747500,747500
169,2026-09-05 15:47:16,1,1,895000,895000,895000
170,2026-08-12 17:51:00,1,1,600000,600000,600000
171,2026-08-31 18:20:33,1,1,895000,895000,895000
172,2026-08-23 16:29:57,1,1,895000,895000,895000
173,2026-08-11 07:48:36,2,2,990000,495000,495000
174,2026-09-05 18:41:16,2,2,1495000,747500,747500
175,2026-08-13 16:14:01,1,1,995000,995000,995000
176,2026-08-09 16:29:58,1,1,649000,649000,649000
177,2026-08-28 10:47:56,1,1,895000,895000,895000
178,2026-08-26 09:15:13,1,1,895000,895000,895000
179,2026-08-12 02:06:02,1,1,649000,649000,649000
180,2026-09-06 16:23:30,1,1,223750,223750,223750
181,2026-09-01 18:44:37,1,1,895000,895000,895000
182,2026-09-02 10:14:11,1,1,895000,895000,895000
183,2026-08-08 10:08:11,1,1,649000,649000,649000
184,2026-08-09 17:20:07,1,1,495000,495000,495000
185,2026-08-27 14:36:47,2,2,1395000,697500,697500
186,2026-08-10 06:13:10,1,1,495000,495000,495000
187,2026-08-09 18:48:05,2,2,899000,449500,449500
188,2026-09-06 01:03:43,1,1,697500,697500,697500
189,2026-09-01 07:49:46,1,1,894500,894500,894500
190,2026-09-09 02:52:43,1,1,995000,995000,995000
191,2026-08-27 15:11:14,4,4,2985000,746250,746250
192,2026-08-24 15:05:04,2,2,1495000,747500,747500
193,2026-09-06 11:49:34,1,1,845000,845000,845000
194,2026-08-24 16:25:21,1,1,895000,895000,895000
195,2026-09-01 10:54:53,1,1,845000,845000,845000
196,2026-09-10 06:09:12,1,1,995000,995000,995000
197,2026-09-04 15:39:31,2,2,1495000,747500,747500
198,2026-09-04 16:44:57,1,1,747500,747500,747500
199,2026-08-21 09:02:18,1,1,995000,995000,995000
200,2026-08-22 19:40:16,2,2,1495000,747500,747500
201,2026-08-24 17:28:20,1,1,695000,695000,695000
202,2026-08-25 19:24:14,2,2,1495000,747500,747500
203,2026-08-23 20:42:20,2,2,1495000,747500,747500
204,2026-09-07 13:39:13,1,1,895000,895000,895000
205,2026-09-03 15:01:50,1,1,895000,895000,895000
206,2026-08-09 13:00:12,2,2,999000,499500,499500
207,2026-08-09 10:15:38,1,1,649000,649000,649000
208,2026-08-13 19:25:17,1,1,645000,645000,645000
