day,course,amount_kopecks,sale_lines,case_amount_rub
2026-08-09,Backend про,649000,1,6490.0
2026-08-09,Backend старт,6722666,12,67226.66
2026-08-09,Data Engenering,645000,1,6450.0
2026-08-09,Data Science,1935000,3,19350.0
2026-08-09,ML про,874500,1,8745.0
2026-08-09,ML старт,10729833,20,107298.33
2026-08-09,Алгоритмы,6062500,8,60625.0
2026-08-09,Алгоритмы старт,14218668,28,142186.68
2026-08-09,Аналитика про,495000,1,4950.0
2026-08-09,Аналитика старт,10077000,17,100770.0
2026-08-23,AI агенты,12045000,15,120450.0
2026-08-23,Backend про,4177500,5,41775.0
2026-08-23,Backend старт,895000,1,8950.0
2026-08-23,ML про,5222500,6,52225.0
2026-08-23,ML старт,895000,1,8950.0
2026-08-23,Алгоритмы,1690000,2,16900.0
2026-08-23,Алгоритмы про,1542500,2,15425.0
2026-08-23,Аналитика про,8367500,11,83675.0
2026-08-23,Аналитика старт,3814500,5,38145.0
2026-08-23,К ВУЗу,800000,1,8000.0
2026-09-05,AI агенты,2585000,3,25850.0
2026-09-05,Backend про,5722500,7,57225.0
2026-09-05,Backend старт,2390000,3,23900.0
2026-09-05,ML про,17710000,21,177100.0
2026-09-05,ML старт,1495000,2,14950.0
2026-09-05,АВ тестам,647500,1,6475.0
2026-09-05,Алгоритмы про,3433400,4,34334.0
2026-09-05,Алгоритмы старт,1595000,2,15950.0
2026-09-05,Аналитика про,9105000,11,91050.0
2026-09-05,Аналитика старт,3785000,5,37850.0
2026-09-06,AI агенты,7712500,11,77125.0
2026-09-06,Backend про,5820000,7,58200.0
2026-09-06,Backend старт,747500,1,7475.0
2026-09-06,Data Science,695000,1,6950.0
2026-09-06,ML про,7860000,11,78600.0
2026-09-06,ML старт,1342500,3,13425.0
2026-09-06,Алгоритмы про,895000,1,8950.0
2026-09-06,Алгоритмы старт,1342500,3,13425.0
2026-09-06,Аналитика про,6372500,8,63725.0
2026-09-06,Аналитика старт,3835000,5,38350.0
2026-09-06,Мат анализ,2985000,3,29850.0
