id,mode,userId,placementId,type,at,course
dv2_e1,demo,demo_v2_u001,d001,visit,2026-09-12T11:18:00Z,
dv2_e2,demo,demo_v2_u002,d002,visit,2026-09-13T17:36:00Z,
dv2_e3,demo,demo_v2_u002,d002,lead,2026-09-13T17:38:00Z,
dv2_e4,demo,demo_v2_u003,d003,visit,2026-09-14T20:02:00Z,
dv2_e5,demo,demo_v2_u003,d003,lead,2026-09-14T20:04:00Z,
dv2_e6,demo,demo_v2_u003,d007,visit,2026-09-18T13:23:00Z,
dv2_e7,demo,demo_v2_u004,d004,visit,2026-09-15T18:21:00Z,
dv2_e8,demo,demo_v2_u004,d004,lead,2026-09-15T18:23:00Z,
dv2_e9,demo,demo_v2_u005,d001,visit,2026-09-12T18:33:00Z,
dv2_e10,demo,demo_v2_u005,d001,lead,2026-09-12T18:35:00Z,
dv2_e11,demo,demo_v2_u005,d005,visit,2026-09-16T12:24:00Z,
dv2_e12,demo,demo_v2_u006,d002,visit,2026-09-13T19:52:00Z,
dv2_e13,demo,demo_v2_u007,d003,visit,2026-09-14T11:11:00Z,
dv2_e14,demo,demo_v2_u007,d003,lead,2026-09-14T11:13:00Z,
dv2_e15,demo,demo_v2_u007,d007,visit,2026-09-18T13:18:00Z,
dv2_e16,demo,demo_v2_u008,d004,visit,2026-09-15T15:56:00Z,
dv2_e17,demo,demo_v2_u008,d004,lead,2026-09-15T15:58:00Z,
dv2_e18,demo,demo_v2_u009,d001,visit,2026-09-12T19:24:00Z,
dv2_e19,demo,demo_v2_u009,d001,lead,2026-09-12T19:26:00Z,
dv2_e20,demo,demo_v2_u009,d005,visit,2026-09-16T12:37:00Z,
dv2_e21,demo,demo_v2_u010,d002,visit,2026-09-13T17:58:00Z,
dv2_e22,demo,demo_v2_u010,d002,lead,2026-09-13T18:00:00Z,
dv2_e23,demo,demo_v2_u011,d003,visit,2026-09-14T18:56:00Z,
dv2_e24,demo,demo_v2_u012,d004,visit,2026-09-15T12:03:00Z,
dv2_e25,demo,demo_v2_u012,d004,lead,2026-09-15T12:05:00Z,
dv2_e26,demo,demo_v2_u013,d001,visit,2026-09-12T17:46:00Z,
dv2_e27,demo,demo_v2_u013,d001,lead,2026-09-12T17:48:00Z,
dv2_e28,demo,demo_v2_u013,d005,visit,2026-09-16T10:47:00Z,
dv2_e29,demo,demo_v2_u014,d002,visit,2026-09-13T19:52:00Z,
dv2_e30,demo,demo_v2_u014,d002,lead,2026-09-13T19:54:00Z,
dv2_e31,demo,demo_v2_u015,d003,visit,2026-09-14T15:52:00Z,
dv2_e32,demo,demo_v2_u015,d003,lead,2026-09-14T15:54:00Z,
dv2_e33,demo,demo_v2_u015,d007,visit,2026-09-18T11:11:00Z,
dv2_e34,demo,demo_v2_u016,d004,visit,2026-09-15T12:32:00Z,
dv2_e35,demo,demo_v2_u017,d001,visit,2026-09-12T12:03:00Z,
dv2_e36,demo,demo_v2_u017,d001,lead,2026-09-12T12:05:00Z,
dv2_e37,demo,demo_v2_u017,d005,visit,2026-09-16T11:12:00Z,
dv2_e38,demo,demo_v2_u018,d002,visit,2026-09-13T19:14:00Z,
dv2_e39,demo,demo_v2_u018,d002,lead,2026-09-13T19:16:00Z,
dv2_e40,demo,demo_v2_u019,d003,visit,2026-09-14T17:57:00Z,
dv2_e41,demo,demo_v2_u019,d003,lead,2026-09-14T17:59:00Z,
dv2_e42,demo,demo_v2_u019,d007,visit,2026-09-18T10:57:00Z,
dv2_e43,demo,demo_v2_u020,d004,visit,2026-09-15T10:54:00Z,
dv2_e44,demo,demo_v2_u020,d004,lead,2026-09-15T10:56:00Z,
dv2_e45,demo,demo_v2_u021,d001,visit,2026-09-12T14:13:00Z,
dv2_e46,demo,demo_v2_u022,d002,visit,2026-09-13T17:30:00Z,
dv2_e47,demo,demo_v2_u022,d002,lead,2026-09-13T17:32:00Z,
dv2_e48,demo,demo_v2_u023,d003,visit,2026-09-14T12:49:00Z,
dv2_e49,demo,demo_v2_u023,d003,lead,2026-09-14T12:51:00Z,
dv2_e50,demo,demo_v2_u023,d007,visit,2026-09-18T11:06:00Z,
dv2_e51,demo,demo_v2_u024,d004,visit,2026-09-15T19:52:00Z,
dv2_e52,demo,demo_v2_u024,d004,lead,2026-09-15T19:54:00Z,
dv2_e53,demo,demo_v2_u025,d001,visit,2026-09-12T17:23:00Z,
dv2_e54,demo,demo_v2_u025,d001,lead,2026-09-12T17:25:00Z,
dv2_e55,demo,demo_v2_u025,d005,visit,2026-09-16T10:49:00Z,
dv2_e56,demo,demo_v2_u026,d002,visit,2026-09-13T13:34:00Z,
dv2_e57,demo,demo_v2_u027,d003,visit,2026-09-14T16:25:00Z,
dv2_e58,demo,demo_v2_u027,d003,lead,2026-09-14T16:27:00Z,
dv2_e59,demo,demo_v2_u027,d007,visit,2026-09-18T11:13:00Z,
dv2_e60,demo,demo_v2_u028,d004,visit,2026-09-15T17:25:00Z,
dv2_e61,demo,demo_v2_u028,d004,lead,2026-09-15T17:27:00Z,
dv2_e62,demo,demo_v2_u029,d001,visit,2026-09-12T11:19:00Z,
dv2_e63,demo,demo_v2_u029,d001,lead,2026-09-12T11:21:00Z,
dv2_e64,demo,demo_v2_u029,d005,visit,2026-09-16T12:54:00Z,
dv2_e65,demo,demo_v2_u030,d002,visit,2026-09-13T13:54:00Z,
dv2_e66,demo,demo_v2_u030,d002,lead,2026-09-13T13:56:00Z,
dv2_e67,demo,demo_v2_u031,d003,visit,2026-09-14T14:32:00Z,
dv2_e68,demo,demo_v2_u032,d004,visit,2026-09-15T12:00:00Z,
dv2_e69,demo,demo_v2_u032,d004,lead,2026-09-15T12:02:00Z,
dv2_e70,demo,demo_v2_u033,d001,visit,2026-09-12T16:01:00Z,
dv2_e71,demo,demo_v2_u033,d001,lead,2026-09-12T16:03:00Z,
