id,mode,userId,stage,owner,course,sourcePlacementId,note,createdAt
dv2_l1,demo,demo_v2_u002,paid,Участник 2,Алгоритмы про,d002,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-13T17:38:00Z
dv2_l2,demo,demo_v2_u003,qualified,Участник 3,ML про,d003,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-14T20:04:00Z
dv2_l3,demo,demo_v2_u004,paid,Участник 4,Backend про,d004,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-15T18:23:00Z
dv2_l4,demo,demo_v2_u005,paid,Участник 5,Аналитика про,d001,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-12T18:35:00Z
dv2_l6,demo,demo_v2_u007,new,Участник 2,ML про,d003,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-14T11:13:00Z
dv2_l7,demo,demo_v2_u008,qualified,Участник 3,Backend про,d004,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-15T15:58:00Z
dv2_l8,demo,demo_v2_u009,qualified,Участник 4,Аналитика про,d001,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-12T19:26:00Z
dv2_l9,demo,demo_v2_u010,new,Участник 5,Алгоритмы про,d002,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-13T18:00:00Z
dv2_l11,demo,demo_v2_u012,qualified,Участник 2,Backend про,d004,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-15T12:05:00Z
dv2_l12,demo,demo_v2_u013,paid,Участник 3,Аналитика про,d001,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-12T17:48:00Z
dv2_l13,demo,demo_v2_u014,paid,Участник 4,Алгоритмы про,d002,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-13T19:54:00Z
dv2_l14,demo,demo_v2_u015,qualified,Участник 5,ML про,d003,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-14T15:54:00Z
dv2_l16,demo,demo_v2_u017,qualified,Участник 2,Аналитика про,d001,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-12T12:05:00Z
dv2_l17,demo,demo_v2_u018,qualified,Участник 3,Алгоритмы про,d002,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-13T19:16:00Z
dv2_l18,demo,demo_v2_u019,paid,Участник 4,ML про,d003,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-14T17:59:00Z
dv2_l19,demo,demo_v2_u020,qualified,Участник 5,Backend про,d004,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-15T10:56:00Z
dv2_l21,demo,demo_v2_u022,new,Участник 2,Алгоритмы про,d002,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-13T17:32:00Z
dv2_l22,demo,demo_v2_u023,qualified,Участник 3,ML про,d003,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-14T12:51:00Z
dv2_l23,demo,demo_v2_u024,paid,Участник 4,Backend про,d004,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-15T19:54:00Z
dv2_l24,demo,demo_v2_u025,paid,Участник 5,Аналитика про,d001,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-12T17:25:00Z
dv2_l26,demo,demo_v2_u027,paid,Участник 2,ML про,d003,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-14T16:27:00Z
dv2_l27,demo,demo_v2_u028,new,Участник 3,Backend про,d004,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-15T17:27:00Z
