id,mode,userId,course,amount,at,source,status,leadId,refundAmount
hpay_0001,historical,hist_437,ML про,8950.0,2026-08-04T09:08:31,purchases.xlsx; row 2; timezone unspecified,paid,,
hpay_0002,historical,hist_437,Аналитика старт,7890.0,2026-08-04T09:35:00,purchases.xlsx; row 3; timezone unspecified,paid,,
hpay_0003,historical,hist_443,Линейная алгебра,8475.0,2026-08-04T10:14:38,purchases.xlsx; row 4; timezone unspecified,paid,,
hpay_0004,historical,hist_443,Мат анализ,8475.0,2026-08-04T10:14:38,purchases.xlsx; row 5; timezone unspecified,paid,,
hpay_0005,historical,hist_430,К ВУЗу,8950.0,2026-08-04T13:38:06,purchases.xlsx; row 6; timezone unspecified,paid,,
hpay_0006,historical,hist_480,Data Science,15695.0,2026-08-04T16:17:19,purchases.xlsx; row 7; timezone unspecified,paid,,
hpay_0007,historical,hist_131,Backend старт,8745.0,2026-08-04T17:05:46,purchases.xlsx; row 8; timezone unspecified,paid,,
hpay_0008,historical,hist_571,ML про,8475.0,2026-08-04T17:19:52,purchases.xlsx; row 9; timezone unspecified,paid,,
hpay_0009,historical,hist_571,ML старт,8475.0,2026-08-04T17:19:52,purchases.xlsx; row 10; timezone unspecified,paid,,
hpay_0010,historical,hist_159,Backend про,8475.0,2026-08-05T12:56:32,purchases.xlsx; row 11; timezone unspecified,paid,,
hpay_0011,historical,hist_159,Backend старт,8475.0,2026-08-05T12:56:32,purchases.xlsx; row 12; timezone unspecified,paid,,
hpay_0012,historical,hist_126,ML старт,8745.0,2026-08-05T13:22:41,purchases.xlsx; row 13; timezone unspecified,paid,,
hpay_0013,historical,hist_225,АВ тестам,8745.0,2026-08-05T14:22:34,purchases.xlsx; row 14; timezone unspecified,paid,,
hpay_0014,historical,hist_137,Backend старт,8475.0,2026-08-05T15:01:16,purchases.xlsx; row 15; timezone unspecified,paid,,
hpay_0015,historical,hist_280,ML старт,8245.0,2026-08-05T16:37:02,purchases.xlsx; row 16; timezone unspecified,paid,,
hpay_0016,historical,hist_222,Backend про,7975.0,2026-08-05T18:52:56,purchases.xlsx; row 17; timezone unspecified,paid,,
hpay_0017,historical,hist_222,Backend старт,7975.0,2026-08-05T18:52:56,purchases.xlsx; row 18; timezone unspecified,paid,,
hpay_0018,historical,hist_291,Линейная алгебра,9950.0,2026-08-06T10:06:16,purchases.xlsx; row 19; timezone unspecified,paid,,
hpay_0019,historical,hist_291,Мат анализ,9950.0,2026-08-06T10:06:16,purchases.xlsx; row 20; timezone unspecified,paid,,
hpay_0020,historical,hist_295,К ВУЗу,6950.0,2026-08-06T10:14:55,purchases.xlsx; row 21; timezone unspecified,paid,,
hpay_0021,historical,hist_294,Линейная алгебра,9950.0,2026-08-06T10:39:31,purchases.xlsx; row 22; timezone unspecified,paid,,
hpay_0022,historical,hist_325,Линейная алгебра,9950.0,2026-08-06T11:41:17,purchases.xlsx; row 23; timezone unspecified,paid,,
hpay_0023,historical,hist_166,К ВУЗу,6950.0,2026-08-06T12:15:46,purchases.xlsx; row 24; timezone unspecified,paid,,
hpay_0024,historical,hist_477,Теория вероятностей,500.0,2026-08-06T14:52:49,purchases.xlsx; row 25; timezone unspecified,paid,,
hpay_0025,historical,hist_579,ML старт,8245.0,2026-08-06T16:20:47,purchases.xlsx; row 26; timezone unspecified,paid,,
hpay_0026,historical,hist_334,Линейная алгебра,9950.0,2026-08-07T11:16:14,purchases.xlsx; row 27; timezone unspecified,paid,,
hpay_0027,historical,hist_334,Мат анализ,9950.0,2026-08-07T11:16:14,purchases.xlsx; row 28; timezone unspecified,paid,,
hpay_0028,historical,hist_459,Мат анализ,9950.0,2026-08-07T11:31:08,purchases.xlsx; row 29; timezone unspecified,paid,,
hpay_0029,historical,hist_313,Мат анализ,9450.0,2026-08-07T11:58:49,purchases.xlsx; row 30; timezone unspecified,paid,,
hpay_0030,historical,hist_481,ML про,8745.0,2026-08-07T13:09:54,purchases.xlsx; row 31; timezone unspecified,paid,,
hpay_0031,historical,hist_249,К ВУЗу,6950.0,2026-08-07T19:38:55,purchases.xlsx; row 32; timezone unspecified,paid,,
hpay_0032,historical,hist_259,ML про,8745.0,2026-08-08T07:59:01,purchases.xlsx; row 33; timezone unspecified,paid,,
hpay_0033,historical,hist_26,Backend старт,6490.0,2026-08-08T09:23:01,purchases.xlsx; row 34; timezone unspecified,paid,,
hpay_0034,historical,hist_183,Backend старт,6490.0,2026-08-08T10:08:11,purchases.xlsx; row 35; timezone unspecified,paid,,
hpay_0035,historical,hist_47,ML старт,4995.0,2026-08-08T12:24:55,purchases.xlsx; row 36; timezone unspecified,paid,,
hpay_0036,historical,hist_47,Алгоритмы старт,4995.0,2026-08-08T12:24:55,purchases.xlsx; row 37; timezone unspecified,paid,,
hpay_0037,historical,hist_518,Алгоритмы старт,6490.0,2026-08-08T12:37:37,purchases.xlsx; row 38; timezone unspecified,paid,,
hpay_0038,historical,hist_54,Алгоритмы старт,6490.0,2026-08-08T12:39:51,purchases.xlsx; row 39; timezone unspecified,paid,,
hpay_0039,historical,hist_554,ML старт,5000.0,2026-08-08T12:44:01,purchases.xlsx; row 40; timezone unspecified,paid,,
hpay_0040,historical,hist_554,Алгоритмы старт,5000.0,2026-08-08T12:44:01,purchases.xlsx; row 41; timezone unspecified,paid,,
hpay_0041,historical,hist_473,Алгоритмы,10000.0,2026-08-08T13:57:16,purchases.xlsx; row 42; timezone unspecified,paid,,
hpay_0042,historical,hist_308,Backend старт,4950.0,2026-08-08T14:05:17,purchases.xlsx; row 43; timezone unspecified,paid,,
hpay_0043,historical,hist_308,Алгоритмы старт,4950.0,2026-08-08T14:05:17,purchases.xlsx; row 44; timezone unspecified,paid,,
hpay_0044,historical,hist_412,ML старт,4995.0,2026-08-08T14:06:52,purchases.xlsx; row 45; timezone unspecified,paid,,
hpay_0045,historical,hist_412,Алгоритмы старт,4995.0,2026-08-08T14:06:52,purchases.xlsx; row 46; timezone unspecified,paid,,
hpay_0046,historical,hist_7,Backend старт,4950.0,2026-08-08T14:07:56,purchases.xlsx; row 47; timezone unspecified,paid,,
hpay_0047,historical,hist_370,Backend старт,6490.0,2026-08-08T14:10:35,purchases.xlsx; row 48; timezone unspecified,paid,,
hpay_0048,historical,hist_532,Аналитика про,4995.0,2026-08-08T16:22:47,purchases.xlsx; row 49; timezone unspecified,paid,,
hpay_0049,historical,hist_532,Аналитика старт,4995.0,2026-08-08T16:22:47,purchases.xlsx; row 50; timezone unspecified,paid,,
hpay_0050,historical,hist_451,Backend про,8245.0,2026-08-08T16:24:46,purchases.xlsx; row 51; timezone unspecified,paid,,
hpay_0051,historical,hist_265,ML старт,5990.0,2026-08-08T16:25:28,purchases.xlsx; row 52; timezone unspecified,paid,,
hpay_0052,historical,hist_8,АВ тестам,4495.0,2026-08-08T16:25:39,purchases.xlsx; row 53; timezone unspecified,paid,,
hpay_0053,historical,hist_8,Алгоритмы,4495.0,2026-08-08T16:25:39,purchases.xlsx; row 54; timezone unspecified,paid,,
hpay_0054,historical,hist_33,Backend старт,4995.0,2026-08-08T16:26:36,purchases.xlsx; row 55; timezone unspecified,paid,,
hpay_0055,historical,hist_33,Алгоритмы старт,4995.0,2026-08-08T16:26:36,purchases.xlsx; row 56; timezone unspecified,paid,,
hpay_0056,historical,hist_512,Алгоритмы старт,4995.0,2026-08-08T16:43:12,purchases.xlsx; row 57; timezone unspecified,paid,,
hpay_0057,historical,hist_410,Backend старт,6490.0,2026-08-08T16:51:05,purchases.xlsx; row 58; timezone unspecified,paid,,
hpay_0058,historical,hist_516,Алгоритмы старт,4950.0,2026-08-08T16:59:49,purchases.xlsx; row 59; timezone unspecified,paid,,
hpay_0059,historical,hist_516,Аналитика старт,4950.0,2026-08-08T16:59:49,purchases.xlsx; row 60; timezone unspecified,paid,,
hpay_0060,historical,hist_511,Аналитика старт,4950.0,2026-08-08T17:29:42,purchases.xlsx; row 61; timezone unspecified,paid,,
hpay_0061,historical,hist_256,ML старт,5990.0,2026-08-08T17:54:37,purchases.xlsx; row 62; timezone unspecified,paid,,
hpay_0062,historical,hist_333,Аналитика старт,6490.0,2026-08-08T18:25:13,purchases.xlsx; row 63; timezone unspecified,paid,,
hpay_0063,historical,hist_233,Аналитика старт,6490.0,2026-08-08T18:51:08,purchases.xlsx; row 64; timezone unspecified,paid,,
hpay_0064,historical,hist_427,ML старт,4950.0,2026-08-08T19:23:46,purchases.xlsx; row 65; timezone unspecified,paid,,
hpay_0065,historical,hist_427,Алгоритмы,4950.0,2026-08-08T19:23:46,purchases.xlsx; row 66; timezone unspecified,paid,,
hpay_0066,historical,hist_120,Аналитика старт,6490.0,2026-08-08T19:28:26,purchases.xlsx; row 67; timezone unspecified,paid,,
hpay_0067,historical,hist_469,Алгоритмы,4950.0,2026-08-08T19:45:24,purchases.xlsx; row 68; timezone unspecified,paid,,
hpay_0068,historical,hist_161,Backend старт,4995.0,2026-08-08T19:49:42,purchases.xlsx; row 69; timezone unspecified,paid,,
hpay_0069,historical,hist_161,Алгоритмы старт,4995.0,2026-08-08T19:49:42,purchases.xlsx; row 70; timezone unspecified,paid,,
hpay_0070,historical,hist_320,Алгоритмы старт,4995.0,2026-08-08T19:54:31,purchases.xlsx; row 71; timezone unspecified,paid,,
hpay_0071,historical,hist_320,Аналитика старт,4995.0,2026-08-08T19:54:31,purchases.xlsx; row 72; timezone unspecified,paid,,
hpay_0072,historical,hist_135,ML старт,4995.0,2026-08-08T20:00:19,purchases.xlsx; row 73; timezone unspecified,paid,,
hpay_0073,historical,hist_135,Алгоритмы старт,4995.0,2026-08-08T20:00:19,purchases.xlsx; row 74; timezone unspecified,paid,,
hpay_0074,historical,hist_73,Алгоритмы старт,4995.0,2026-08-08T20:05:40,purchases.xlsx; row 75; timezone unspecified,paid,,
hpay_0075,historical,hist_227,ML старт,4725.0,2026-08-08T20:08:33,purchases.xlsx; row 76; timezone unspecified,paid,,
hpay_0076,historical,hist_227,Алгоритмы старт,4725.0,2026-08-08T20:08:33,purchases.xlsx; row 77; timezone unspecified,paid,,
hpay_0077,historical,hist_507,ML старт,6490.0,2026-08-08T20:12:46,purchases.xlsx; row 78; timezone unspecified,paid,,
hpay_0078,historical,hist_421,Data Engenering,4995.0,2026-08-08T20:25:37,purchases.xlsx; row 79; timezone unspecified,paid,,
hpay_0079,historical,hist_421,Алгоритмы,4995.0,2026-08-08T20:25:37,purchases.xlsx; row 80; timezone unspecified,paid,,
hpay_0080,historical,hist_401,Backend про,8245.0,2026-08-08T22:16:55,purchases.xlsx; row 81; timezone unspecified,paid,,
hpay_0081,historical,hist_160,Аналитика старт,4995.0,2026-08-09T02:39:44,purchases.xlsx; row 82; timezone unspecified,paid,,
hpay_0082,historical,hist_32,ML старт,6490.0,2026-08-09T04:36:11,purchases.xlsx; row 83; timezone unspecified,paid,,
hpay_0083,historical,hist_415,Backend старт,4995.0,2026-08-09T04:51:42,purchases.xlsx; row 84; timezone unspecified,paid,,
hpay_0084,historical,hist_167,ML старт,4950.0,2026-08-09T09:07:16,purchases.xlsx; row 85; timezone unspecified,paid,,
hpay_0085,historical,hist_167,Алгоритмы старт,4950.0,2026-08-09T09:07:16,purchases.xlsx; row 86; timezone unspecified,paid,,
hpay_0086,historical,hist_262,Backend про,6490.0,2026-08-09T09:10:55,purchases.xlsx; row 87; timezone unspecified,paid,,
hpay_0087,historical,hist_570,Алгоритмы старт,4995.0,2026-08-09T09:24:57,purchases.xlsx; row 88; timezone unspecified,paid,,
hpay_0088,historical,hist_570,Аналитика старт,4995.0,2026-08-09T09:24:57,purchases.xlsx; row 89; timezone unspecified,paid,,
